"symbol","PC1_tau","PC1_pval"
"AKAP9",0.0187065744882245,0.73946569781327
"AKIRIN1",-0.0902419010033793,0.108647922275788
"AKIRIN2",0.0799790536193843,0.155278898955684
"AKR1A1",0.00848653893142353,0.880067921409951
"AKR1B1",0.0614484818478112,0.274347684425478
"AKT3",-0.113105492044543,0.0443515752800658
"ALAD",-0.110716722497845,0.048936917845246
"ALCAM",0.0496182181548739,0.377664219230921
"ALDH3A2",-0.02864829454893,0.610329592775176
"ALDH6A1",0.0431183292265135,0.44324323344593
"ALDH7A1",0.17007716797261,0.00249590566758996
"ALDH9A1",0.193317289375188,0.000589322070448923
"ALDOA",0.113372684906089,0.0440137942775173
"ALDOC",0.00424309369910789,0.939863413787351
"ALOX5AP",0.0992320836520336,0.0779043282085789
"ALPL",-0.00927090891951024,0.869142646264369
"ALYREF",0.0942647723003621,0.093900292854339
"AMD1",-0.136097189476363,0.0155095246577678
"AMER2",0.0439248694069435,0.435029323479579
"AMFR",0.0702821082862134,0.211246090320358
"AMOTL1",0.206630818297385,0.000237839047455919
"AMOTL2",0.00433058443940834,0.938637193977772
"AMPD3",0.113524404888376,0.0435453325810233
"ANAPC11",0.100972493816733,0.0726200907440255
"ANAPC13",0.0186114897083945,0.74063447567212
"ANAPC16",0.00458908853602174,0.934965124157178
"ANAPC5",0.057041657895929,0.310301156728761
"ANGPT2",-0.177072464419938,0.00165720465451902
"ANK2",-0.0679986295595702,0.226805460561853
"ANK3",0.0289283040552477,0.607083822133051
"ANKH",-0.165829755682806,0.00320896744539608
"ANKRD10",-0.036641299749934,0.514869693682603
"ANKRD11",-0.0643551516221305,0.252637620693644
"ANKRD12",-0.140380097081511,0.0125696632278507
"ANKRD13B",-0.0399947171877401,0.476901498260684
"ANKRD17",0.00328988117054822,0.953346419973479
"ANKRD26",-0.118161318381202,0.0355929239515705
"ANKRD28",-0.0113513066350372,0.840152760489032
"ANKRD36",-0.116853695892816,0.0378010538635556
"ANKRD36B",-0.0642138629662652,0.253903713810949
"ANKRD36C",-0.0849695878079543,0.130940110963197
"ANKRD40",-0.0815590744097708,0.147371370627865
"ANKRD44",-0.0506867450272289,0.36774094161402
"ANKRD46",0.00329015363575806,0.953346136221985
"ANKS1A",-0.00970372656033139,0.863088263375803
"ANKS1B",-0.0601726865608048,0.284606518715957
"ANLN",-0.144730803498079,0.0100470836031988
"ANO10",-0.00658030727151611,0.906851644216078
"ANO3",-0.108839326222251,0.0529539790728313
"ANO4",0.0668642237444647,0.234596673808543
"ANO6",0.021393973688649,0.703728618157799
"ANP32A",-0.0249483020199255,0.657459733911141
"ANP32B",0.0961658299277346,0.0871761610135911
"ANP32E",0.107918164230056,0.0550587348139278
"ANPEP",-0.0262400798369511,0.640852763893616
"ANXA1",-0.0857171605105388,0.127455363539641
"ANXA2",-0.00233938823202595,0.966840033952525
"ANXA5",0.0868679242306104,0.122527799788185
"ANXA6",0.0336332211854426,0.550227970530152
"ANXA7",-0.0224463839876652,0.690050162821898
"AP1B1",0.036641299749934,0.514869693682603
"AP1G1",0.0597472120101537,0.28808303111533
"AP1G2",-0.135678891013205,0.015902718603947
"AP1S2",0.0701984591101645,0.211808442941657
"AP2A2",0.0529263218610158,0.346841500864336
"AP2B1",0.0942289407491506,0.094193919109861
"AP2S1",0.123141411841676,0.028572289680175
"AP3M1",0.0934888852724444,0.0966509708409293
"AP3S1",-0.0832028083236451,0.138990444179452
"APBA1",-0.0186114897083945,0.740634279505064
"APBB1",0.073519866206209,0.191653258858281
"APBB1IP",-0.0328988117054822,0.558512892466995
"APBB2",0.113590295266149,0.0435347328583604
"APC",0.0188891772178791,0.737131327254903
"APCDD1",0.0650696504537588,0.247553307002151
"APEX1",0.0219245712961742,0.696878615407403
"API5",0.0592080559764867,0.292303008615994
"APIP",0.0493768477477692,0.380155251228203
"APLN",0.0213117749011034,0.704866660499955
"APLNR",0.0414852798668618,0.460826408009909
"APLP1",0.0291917683586945,0.603860971001268
"APLP2",0.0648694668481827,0.248827962860032
"APOBEC3C",-0.0558483416176231,0.320681361176565
"APOC1",0.0506531470485418,0.367760894397465
"APOD",-0.00996323467810356,0.859457600968165
"APOE",0.0230368000642024,0.68214238439263
"APOL2",0.0206976207294763,0.712893768093893
"APOLD1",-0.0481960592245002,0.391945440836559
"APOO",0.0428426157151672,0.446003197859904
"APOOL",-0.0845260032430885,0.132920816269594
"APP",0.125954274781152,0.0251789473373287
"APPL2",0.0146343435744741,0.794712348888005
"APRT",0.0686688429263787,0.222116598736998
"AQP4",-0.0212119542552477,0.706022033564623
"AQP6",-0.0916283260090636,0.103632513757823
"AQR",0.142745797809965,0.0111235720958682
"ARAP2",-0.166827939462729,0.00302303828631921
"ARAP3",0.0528418896949811,0.347629628979991
"ARCN1",-0.0659762386959905,0.240722225663182
"ARF1",0.0980525583965778,0.0813554829142814
"ARF4",-0.00268440621780295,0.961932855173884
"ARF6",-0.105540294845498,0.0605483576946796
"ARFGEF2",-0.0186145721015439,0.74063280399233
"ARFIP1",0.00701758268631642,0.900750335982749
"ARGLU1",-0.0898572899277373,0.110342473475412
"ARHGAP1",-0.0490100318807927,0.383523965702019
"ARHGAP11A",0.166082790242822,0.00316167571849458
"ARHGAP11B",0.193903074899436,0.000572346563686269
"ARHGAP12",0.0275288313110419,0.624420848920542
"ARHGAP18",-0.133820604651671,0.0173713640757714
"ARHGAP21",-0.0541210931008659,0.335918668629086
"ARHGAP23",-0.0615630556436124,0.273662502565784
"ARHGAP25",-0.131676370768867,0.0191943351921636
"ARHGAP26",-0.112630478875934,0.0451748675477102
"ARHGAP29",0.0369969916694474,0.510891148592257
"ARHGAP31",-0.120370297088558,0.0323486951446076
"ARHGAP32",-0.106397277892793,0.0584681753681342
