"symbol","age","tau","pval"
"ABCB1",7,0.168564558054747,0.28182071734709
"ABCB1",8,0.252330733161998,0.0445872905728556
"ABCB1",9,0.295363881453192,0.0187196723023857
"ABCB1",10,0.346221238524602,0.00585333469064436
"ABCC8",1,0.162352332189503,0.196250416977789
"ABCC8",2,0.150616019019177,0.230571352963936
"ABCC8",3,0.189737062920262,0.130969964702136
"ABCC8",4,0.0975900072948533,0.533228467552479
"ABCC8",5,0.0293407829258138,0.815334594355228
"ABCC8",6,-0.0293407829258138,0.815334594355228
"ABCC8",7,-0.10646182613984,0.49667580355082
"ABCC8",8,-0.146703914629069,0.242908260904324
"ABCC8",9,-0.17017654096972,0.175548806933976
"ABCC8",10,-0.197561271700479,0.115818912933217
"ABCC9",1,0.119319183898309,0.342229787212586
"ABCC9",2,0.123231288288418,0.326637781784253
"ABCC9",3,0.14279181023896,0.255702002493809
"ABCC9",4,0.141949101519787,0.364773966469587
"ABCC9",5,0.150616019019177,0.230571352963936
"ABCC9",6,0.134967601458743,0.282675456589956
"ABCC9",7,0.141949101519787,0.364773966469587
"ABCC9",8,0.138879705848852,0.268956636034226
"ABCC9",9,0.115407079508201,0.358289786723766
"ABCC9",10,0.0762860356071158,0.543698832125305
"ABCD3",1,0.00195605219505425,0.987577456160035
"ABCD3",2,-0.0215165741455968,0.864011651069106
"ABCD3",3,-0.0293407829258138,0.815334594355228
"ABCD3",4,-0.0887181884498666,0.571093904872995
"ABCD3",5,-0.0606376180466818,0.629330532530601
"ABCD3",6,-0.0567255136565733,0.651608049453854
"ABCD3",7,-0.0354872753799467,0.820753087882979
"ABCD3",8,-0.107582870727984,0.39180485461851
"ABCD3",9,-0.0919344531675498,0.464297359476929
"ABCD3",10,0.0176044697554883,0.888557428027712
"ABCD4",1,-0.123231288288418,0.326637781784253
"ABCD4",2,-0.0958465575576583,0.445505760754042
"ABCD4",3,-0.0215165741455968,0.864011651069106
"ABCD4",4,0.0354872753799467,0.820753087882979
"ABCD4",5,0.0410770960961393,0.743690911122529
"ABCD4",6,0.0762860356071158,0.543698832125305
"ABCD4",7,0.0975900072948533,0.533228467552479
"ABCD4",8,0.150616019019177,0.230571352963936
"ABCD4",9,0.178000749749937,0.156521500977106
"ABCD4",10,0.197561271700479,0.115818912933217
"ABCE1",1,-0.541826458030027,1.61138563674662e-05
"ABCE1",2,-0.569211188760787,5.87429872977253e-06
"ABCE1",3,-0.592683815101438,2.38521650895812e-06
"ABCE1",4,-0.576668224924133,0.000231531561380835
"ABCE1",5,-0.428375430716881,0.000650044863392011
"ABCE1",6,-0.338397029744385,0.00706835920737646
"ABCE1",7,-0.301641840729547,0.0541168582446168
"ABCE1",8,-0.275803359502649,0.028137280702597
"ABCE1",9,-0.127143392678526,0.31151480355771
