symbol,PC1_tau
CNTNAP2,0.159579059846945
IGSF3,0.159578412064359
ZIC3,0.15939268483229
FAM111B,0.15916504378635798
RASAL2,0.15913953638219197
PHF6,0.15897857073321803
FIGN,0.15892688709478
WSCD1,0.15883164169483402
HERC5,0.15879320442053302
TCP1,0.15860572066697198
LHX6,0.15836819321585802
MYO1B,0.15834061941897304
LMO4,0.157968172473551
BRIP1,0.15787193069254998
NPR3,0.157819577207213
PAM,0.157579314740676
STAT5B,0.15739300625444502
NUDT1,0.15727379291951699
RBP1,0.156953388528798
RAB8B,0.156567983551161
C1QTNF3,0.156474904373224
RFTN1,0.15629123330483
PLCH1,0.155942423648588
HSBP1,0.155505940162469
BMP7,0.15542290419167998
EEPD1,0.15537143539179402
QKI,0.15484886659697
SLC4A7,0.154582648544415
ZFAND6,0.154409446697306
UQCRC1,0.154236244850198
ZBTB41,0.15408857972512802
CD82,0.15388614100437303
RRM1,0.153771390976482
MDM1,0.15277035832049998
MEX3A,0.15233912065287802
LMO3,0.152230151398165
TMEM47,0.152195658772185
FBLN1,0.152165811073069
SMAD2,0.152157822684895
CENPO,0.151967289168047
RTKN2,0.151929494193991
FGFR1,0.151748564924724
RTKN,0.151650782978862
HRH1,0.151545338061134
SACS,0.150920402231809
WEE1,0.150895407133554
FRYL,0.15077933443459002
IPO5,0.15037597371829198
NAP1L1,0.15005453647029598
MICU1,0.149627800512385
NUAK1,0.149343307924832
CTBP1,0.14905860505332502
EXTL3,0.14896615059012697
DCTN5,0.14890400536675302
SIRT2,0.148464739480331
PCDH18,0.148458130389462
EXO1,0.148260195820982
DDR1,0.147920505675405
ATP8A2,0.147908249947667
BICD1,0.147857606151317
TSPAN5,0.14738371110351098
SOX2,0.147357017247878
VRK1,0.14732037798232098
PAG1,0.147222806730302
CENPM,0.14711542588788099
FAR1,0.146978717540953
FAM107B,0.14667614182634198
KIF18B,0.14667614182634198
GRM5,0.14619269476935098
CASK,0.146164194019043
ATF7IP,0.14607574089927403
PRMT1,0.146071553967333
SEPHS1,0.14601520642197502
FAF2,0.145676950286568
BRINP3,0.145539980012536
VAT1L,0.14548352453868899
CTNNA1,0.145439107045246
TROAP,0.14508906062045998
WDR26,0.14493992595418398
PRPF6,0.144758128054794
NEK2,0.144638255453865
SMARCAD1,0.14460885034264098
KIF4A,0.14448027155962198
KIT,0.14446829689866197
HAPLN3,0.144181609589683
NDRG2,0.144178592020707
MMS22L,0.144157696892016
KIF15,0.14377540338835698
DCXR,0.143772676426613
CUEDC2,0.14341707107638801
IPO9,0.14327705037638097
PLXNB3,0.14319640673912498
SALL1,0.142930761432873
NDUFB11,0.142899676155697
FIP1L1,0.14288560445764098
AQR,0.142745797809965
TCF12,0.1427005875257
SOX4,0.142564871273009
PLK1,0.142470324386196
BIRC5,0.14242312142809196
DHFR,0.14227536234751198
PBK,0.14221639299017
GDAP1L1,0.142194612122871
CDCA7,0.14215749689579402
STXBP5L,0.142088571464371
IFI44L,0.142088571464371
PCMTD1,0.14188170552437698
CKAP4,0.141718750130595
GINS2,0.14162771889158898
TARS,0.141315144928364
HIPK2,0.141223877619109
ESCO2,0.14106229592067498
ARNT2,0.14082970773395498
TPX2,0.14080726839280303
FSTL1,0.14066904137459602
RRM2,0.140518374515376
CTNND1,0.14050745095944198
ESPL1,0.140495803638913
SLIT2,0.140402729230792
RBM23,0.14029874762482
NT5DC2,0.140287684376593
INSM1,0.140184192630502
GTSE1,0.140149328167547
SCAMP1,0.139941295032453
FTO,0.13990686822770299
SLC30A9,0.13972202481476
RNF165,0.139444818948948
IL1RAP,0.139410161357025
GAD1,0.139317801027528
PAPSS1,0.13927159557137198
TNC,0.139248516344174
GPBP1,0.139179347443634
LIPG,0.139121583054286
AK4,0.13909837219379598
KIAA1191,0.139063800707691
DCAF13,0.139040571830009
MSH6,0.138878827730435
INPP5F,0.138602149639024
PCDH10,0.138255860695517
VSTM2L,0.138232970652198
ITPR2,0.13819789908435598
BUB1B,0.138036153639685
GLIPR1,0.137990431162896
MAP2,0.137977320628896
SPC24,0.137770654597564
TACC3,0.137735417401672
XRCC4,0.13756216530431198
CPNE8,0.137263791845956
CCNB1,0.137239723199895
NUCB1,0.13721566110959
NUP160,0.13690471710795
LHFPL2,0.136605332732151
MLC1,0.136579279979093
DPEP1,0.13646609583768401
CDK2AP1,0.136396454598013
DCC,0.13632869679224302
NDC80,0.135982465181342
SREK1,0.135935294951056
ZWINT,0.135717174621654
RAB11A,0.13568116482917097
PTBP2,0.135611428230707
MANEA,0.135209040110047
OLIG2,0.135192688304178
FANCI,0.13477895836137402
TERF2IP,0.134558145345789
FOXM1,0.134513526876405
AURKB,0.134351432416425
FYN,0.134351432416425
SPC25,0.134306904639109
PRSS12,0.134030469161933
CRMP1,0.133939524712902
SFRP2,0.133801905544671
KIF2C,0.133787342145341
CANX,0.133300912983121
PHGDH,0.132976497046145
TMSB15A,0.132840313477589
RAD18,0.132818307296128
SP9,0.132671303066167
HAUS6,0.132570830932822
ECH1,0.13243476020220402
TOP2A,0.132347033266882
PDE4DIP,0.13228345992799
CDK1,0.132276900136076
TMEM123,0.13225056859435902
CHD6,0.132103762832233
KCNN3,0.13207096239402802
POLR2E,0.13196340739633902
NIPSNAP1,0.131936941368912
LAPTM4B,0.13186043400303002
EAF1,0.131752758675295
GNAI3,0.131715280655504
CLTC,0.13167637076886698
HECW1,0.13144386642233802
HDLBP,0.131227211784143
TUFM,0.131162712196222
FZD3,0.13113009682528398
NRXN3,0.131119230440611
COL5A2,0.131119230440611
SAMD4A,0.131075791900263
NUSAP1,0.130545527097645
JAM3,0.130464359466589
MFAP2,0.130464359466589
ZNF516,0.130280427958762
PLK4,0.13010153949793302
CREB1,0.130090756559826
ZNF100,0.130020309514541
UBA6,0.129987986254995
PTTG1,0.129923411990576
DUSP16,0.129750296185125
MPP5,0.129733558256298
S1PR3,0.129658372183187
CCNB2,0.129517427135267
SPDL1,0.129457654697271
WDHD1,0.12931661019090301
CDKN2C,0.129284467199348
ZBTB20,0.128987291363058
ACVR2B,0.128959460796988
GLUL,0.128747657755825
GNG4,0.128613028397265
FKBP9,0.128570416608338
NBAS,0.128499800902997
HMGA2,0.128386625805542
DYNC1H1,0.1283798041442
UBE2C,0.128375996453717
RAD21,0.128365369741522
POLR2B,0.128341067547961
NDUFB10,0.12830536565138
COL20A1,0.128001468025907
EPC1,0.127980259928996
SPON2,0.127930765741436
TUBB4B,0.127831723481877
RUVBL2,0.12782825900286698
EYA3,0.127743604517422
INTU,0.127694047918527
GULP1,0.127694047918527
KIF14,0.127584304629069
CDKAL1,0.12755585074006698
DLX6,0.127489238279679
MOXD1,0.127489238279679
SLC25A46,0.127368853518641
IQGAP2,0.127326674908819
