symbol,sample,region,age,log2_rpkm,pc1,mean_rpkm,mean_nl_residuals
NUP93,HSB150,IPC,84,3.41665925866002,2.0284257134885704,4.09565224610737,3.9523738556489505
NUP93,HSB150,ITC,84,3.54611139633525,2.79700452869668,4.09565224610737,4.0818259933241805
NUP93,HSB150,M1,84,3.30695399722316,-2.3847810426672598,4.09565224610737,3.84266859421209
NUP93,HSB150,MFC,84,3.8933837636512703,0.444456492467492,4.09565224610737,4.4290983606402
NUP93,HSB150,OFC,84,3.7796425669283398,1.82268099129458,4.09565224610737,4.3153571639172705
NUP93,HSB150,S1,84,3.48125088536081,-3.38016871629282,4.09565224610737,4.0169654823497405
NUP93,HSB150,STC,84,3.55012876405456,0.18186962466214898,4.09565224610737,4.08584336104349
NUP93,HSB150,V1,84,3.45770354698334,0.34286980422210805,4.09565224610737,3.99341814397227
NUP93,HSB150,VLPFC,84,3.70360174529406,0.597562123840126,4.09565224610737,4.23931634228299
NUP93,HSB153,A1C,84,3.30695399722316,-3.6381361781909503,4.09565224610737,3.9083984951212
NUP93,HSB153,DLPFC,84,3.3559371124477897,1.1882166584793201,4.09565224610737,3.95738161034583
NUP93,HSB153,IPC,84,3.30695399722316,2.0284257134885704,4.09565224610737,3.9083984951212
NUP93,HSB153,ITC,84,4.16932880476847,2.79700452869668,4.09565224610737,4.77077330266651
NUP93,HSB153,M1,84,3.30695399722316,-2.3847810426672598,4.09565224610737,3.9083984951212
NUP93,HSB153,MFC,84,3.4414385938582797,0.444456492467492,4.09565224610737,4.04288309175632
NUP93,HSB153,OFC,84,3.7925036916245896,1.82268099129458,4.09565224610737,4.3939481895226296
NUP93,HSB153,S1,84,3.30695399722316,-3.38016871629282,4.09565224610737,3.9083984951212
NUP93,HSB153,STC,84,3.30695399722316,0.18186962466214898,4.09565224610737,3.9083984951212
NUP93,HSB153,V1,84,3.30695399722316,0.34286980422210805,4.09565224610737,3.9083984951212
NUP93,HSB153,VLPFC,84,3.4359636284036,0.597562123840126,4.09565224610737,4.03740812630164
NUP93,HSB154,A1C,112,4.18531591733132,-3.6381361781909503,4.09565224610737,3.90744401546572
NUP93,HSB154,DLPFC,112,4.92277676112043,1.1882166584793201,4.09565224610737,4.64490485925483
