,ACVR2A,ALDH9A1,AMOTL1,ARHGAP11B,CADM1,CALB2,CBX5,CHD9,CNR1,CORO1C,DBN1,DCAF7,DDX6,DLX1,EFNB1,EIF4G2,ELAVL4,EOMES,EPHA5,ERBB4,FAM110B,FUT1,GAN,HPCAL1,HUNK,IGFBP5,ILDR2,KLF12,KLHL7,KLHL9,MAOA,MAP4,MCM2,MEGF10,MEIS2,MKLN1,NEUROD4,NHLH1,NNAT,NRP1,NUP93,OSBPL8,PDE1A,PGAP1,PPFIBP2,PRDX5,PRKD1,PSRC1,PTOV1,RNASEH2A,RPRD1B,SCGN,SFRP1,SH3RF1,SHC3,SLC7A14,SOX1,SOX6,SPAG9,ST8SIA5,STAG1,TAGLN3,TFAP2C,THRB,TKTL1,TTN,UBB,WDR36,XRCC5,ZNF536,ZNF608
DBN1,0.00113131757908417,0.0203817194268638,0.0112827635272096,0.00764975359657237,0.000179658849934682,0.000293422764215367,0.00183153419743914,0.00825050953377549,0.000652571118591735,0.00996771484640471,1,0.00382741175659776,0.000673164747628818,0.000289678040363945,0.02003820178554,0.00494286382449466,0.00150315796735048,0.020115754939297,0.00795948514754324,0.00032600752951832,0.000118476116069315,9.49671483567181e-05,0.00323260074820763,0.0173686546751875,0.0324024214530786,0.000832354938045599,0.00121405100788874,0.00165458354730143,0.0122273670937891,0.00806375339241921,0.000526239173566907,0.00853546713872385,0.0158506967307309,0.0115139913339796,0.0139631236049268,0.00257438301953494,0.0191967658152189,0.017222397118169,0.00215839233872301,0.00857996963533528,0.00837086689233699,0.00272003112653895,0.000154662333252638,0.013255895389002,0.00560742638119583,0.00315394930318503,0.00736498180555048,0.0126525337383226,0.0244585407841137,0.0055293965531751,0.0182721805847917,0.000636586706919405,0.0233201103614395,0.00616195637454363,0.0085141540873388,8.64163725965973e-05,0.00986161861736346,0.00299959168588262,0.0130452131316389,7.64851882886165e-05,0.0121276847376158,0.00452678310974976,0.01552237599806,0.000399476299369907,0.0188275883111,0.00135166109731839,0.00808736706741321,0.0137502663689038,0.0591183615958206,0.00147750433469001,0.00134331229126758
DCAF7,0.00127977533329492,0.0140903672531296,0.0341519993431534,0.00219008941662942,0.000257122673878698,0.000409459419760154,0.00101423400628221,0.00484378327656314,0.000447680549563935,0.00891614237527802,0.00382741175659776,1,0.000398746246211223,0.000818480975051208,0.0231968945134213,0.00451399793430567,0.0010764042407493,0.0057895123598851,0.00694531437356579,0.00173505046387253,0.00227385857988903,9.55524382223622e-05,5.02570075493764e-05,0.014196764813618,0.0151622143701019,0.00104805228591978,0.000519300885182602,0.00357477997209744,0.0139023845483201,0.0133159297916613,0.000408734025875238,0.00220224052920064,0.00709345985911801,0.00631491897897536,0.012193034167025,0.0138325980138898,0.0055810140522952,0.00483337998226297,0.00229467065378418,0.0068271356584437,0.00345720163977054,0.00337518869480853,0.000397257975574262,0.00746314027707824,0.00442958413169904,0.00103722651542941,0.00597643005502803,0.0041651548385176,0.00139388851246807,0.00224347990236427,0.0205111613368734,0.000758981892130491,0.0114574821775258,0.0041882355878463,0.00926562087026836,9.64671905834353e-05,0.00428622392682524,0.00296007377384141,0.0124811238182997,0.000549145668484827,0.142165705438042,0.00403077600049503,0.00527222775223762,0.000394189861004625,0.00626987803239418,0.000979578765600253,0.0234640321606253,0.0180772802136004,0.015407508687845,0.00193561225666131,0.00455062944437698
DDX6,0.000251046705510479,0.0156678017206668,0.0093780763098717,0.0182654364053473,0.000492125189513117,0.000356779532467771,0.0271944428410287,0.00758457106387643,0.00323795985947783,0.00485040039361059,0.000673164747628818,0.000398746246211223,1,0.000698067514199669,0.0262141238551984,0.000403999632115881,0.000213584381690269,0.108753503874335,0.00392024046004461,0.00124416246755673,0.00231838821509905,1.50278833050271e-05,0.000387634536168272,0.0019608016738667,0.00797964092296418,0.000258937110648597,0.00261811819807783,0.000888676489769236,0.000646281518910634,0.00305290322356747,0.000346552074825243,0.000830558113671618,0.0744103558852147,0.0441669886605459,0.00442614514855795,0.00502202073803158,0.0983216005627691,0.0919871487002057,0.00057968597089648,0.0227305746111363,0.00120073243536157,0.000210551498049871,4.09138517481265e-05,0.00961618046411294,0.00193382963417144,0.000589516943564159,0.0185980372614362,0.0739357752437135,0.000231488089112881,0.0191934890623614,0.00216664000596486,0.000524198258057871,0.0964899681135868,0.00528099665292353,0.000361642314926507,5.98983660003116e-05,0.0632687740939123,0.012766617454918,0.0232835121775084,0.00052774973738786,0.00282468466517282,0.000207410114945418,0.108126462993298,0.000132030401499824,0.0627308755976162,0.00143200904456873,0.00175408139392396,0.000437592720070773,0.00507401730887879,0.00245371400479505,0.00996936333992233
DLX1,0.0508515636683772,0.00158673791842452,0.000763006294757435,0.000185844986965528,0.0388725485994645,0.160385540845808,0.00204573207489006,0.000295421580975223,0.00846915952726795,0.00186417920049693,0.000289678040363945,0.000818480975051208,0.000698067514199669,1,0.00290890422739226,0.00659220290765343,0.0822061646801328,0.00155615965384296,0.000763182387811117,0.286008502616491,0.0260977968700625,0.000715052061693685,0.00118582523602214,0.0104660123555505,0.00421704071419132,0.0248003295489469,0.00921934792793465,0.022212410156525,0.0196511394886344,0.00905168494336034,0.00787353828529033,0.0070257791409681,0.00131535093646073,0.00172958763761034,0.00469090687868644,0.000738926577192255,0.00129208018292472,0.000919389890136909,0.0189172647793593,0.0010010234765272,0.0513050889073186,0.0196499680978778,0.00379870050878937,0.00461856806298373,0.00637137019672662,0.00798300710272523,0.0025656104091754,0.0017214645432348,0.0026708689861933,0.00124381099005524,0.00228390748019623,0.287012255521344,0.00273681058023792,0.00598216539402819,0.000428539067993483,0.0089490541625741,0.00837504674117537,0.0184185229624591,0.00432279094081434,0.343763271035972,0.00341190431144234,0.0140577335608693,0.00189419217878923,0.105463427610459,0.00128628771581758,0.000565459758163379,0.000799869899051961,0.0048899194798972,0.00402885080874341,0.147012590605846,0.0204107737224703
EFNB1,0.0144477890782348,0.107180356836553,0.101842996056565,0.0606084194662632,0.00339524904737452,0.00428282718707364,0.0597745993626933,0.0740678419513302,0.0132131296163929,0.070520474485333,0.02003820178554,0.0231968945134213,0.0262141238551984,0.00290890422739226,1,0.0235424262167493,0.0101351456438251,0.200215068660802,0.0310521367848436,0.00574837144774405,0.00149209300679455,0.00145422802105916,0.00265887615597314,0.0675303900675486,0.100039993623373,0.0148664900896478,0.0288773609894848,0.024909869071932,0.033440226372601,0.0524439240518903,0.0110138286893839,0.0361633341469599,0.152143944067416,0.153982229788831,0.0844987164669648,0.0572647602916278,0.195541143584648,0.170334674811164,0.0259082115697165,0.0935160774158652,0.0275787027873215,0.0150826068088012,0.00253111784599669,0.0875539373298194,0.0558042789088766,0.0155661021351275,0.11506553305017,0.147402957014016,0.0135696243741229,0.0586713866061133,0.0627290102474441,0.00469211937348746,0.21706788924335,0.0601693190492924,0.0307673944294724,0.00103080475946971,0.128343783914265,0.0684632131006247,0.11072785614326,0.00217464266800886,0.062561763669087,0.0186215856375589,0.178896845164663,0.0044883668657116,0.17298060161646,0.0183903179759,0.0643304348944407,0.0230085845868408,0.0730285002583462,0.013296676666693,0.0337738705383
EIF4G2,0.0162898987461072,0.0337042703915394,0.017564373366218,0.000799805857850485,0.00165054039829422,0.00649583895846046,0.000730045921650272,0.0060609207139875,0.0036898330338352,0.00897581279979165,0.00494286382449466,0.00451399793430567,0.000403999632115881,0.00659220290765343,0.0235424262167493,1,0.0365535071885643,0.00727081450488021,0.00274533457485329,0.0083708553313561,0.000478065615949059,0.00178505662678348,0.000263476873199582,0.0596371770459123,0.0771852289702857,0.00832322978340902,0.0110438552425012,0.0308522266506725,0.0327333798179267,0.0163441766717336,0.00794092009159685,0.0194439615747441,0.00518846517308113,0.018117776749652,0.0549501017447315,0.002552227097517,0.00629101064760593,0.00578165446368184,0.0233934659881281,0.0148347746232614,0.0311753476317614,0.00677974695320507,0.00130327114203561,0.030283370001943,0.0214326486359682,0.0085987207321244,0.0147988715863842,0.00714441667905428,0.00473232594382865,0.000782063872507337,0.0167590968034577,0.00916421409704645,0.015095880834845,0.0413802458400675,0.0206491409793115,0.00338957406954264,0.00624874999645786,0.00875601944896355,0.0529752887026149,0.00399454702553748,0.0241613753271882,0.0101410096751894,0.00522780987714223,0.00520249802139827,0.0141707928344967,0.00121104828227392,0.0169729900570738,0.0135229318466144,0.0427467464787615,0.0071712274618619,0.0133946005509548
ELAVL4,0.0908704746101273,0.00945470027372981,0.00565328364102803,0.000262184895005077,0.020307600969717,0.062146380122577,0.00088254504205238,0.00122850984390977,0.00215217997550304,0.00393790562025291,0.00150315796735048,0.0010764042407493,0.000213584381690269,0.0822061646801328,0.0101351456438251,0.0365535071885643,1,0.00149019056082924,0.00155552444709617,0.0882733078716958,0.00700188031493779,0.00249365275217115,0.00405894059895441,0.0482759178585797,0.0299668279641963,0.0240330959809278,0.0100593304948854,0.0193181611977651,0.0412976728492535,0.0138359580462422,0.00903825451182049,0.0142384484039079,0.00109331054990322,0.00412131815567055,0.0236963470933966,0.000712768817009918,0.00126134502324774,0.000958237923118568,0.041702183336358,0.00322610562773465,0.0425456802156884,0.0176617810744982,0.0134433639428169,0.0169428663373652,0.0113685273206958,0.00943906783070328,0.0046076802581549,0.00144732480109544,0.00434813341658572,0.000737004530212179,0.00926247055204012,0.0636717625421505,0.00365456605492473,0.0146929946825635,0.00547639660321596,0.0110353953425983,0.00433410254411436,0.00991525194768694,0.0117840609447205,0.0655324568365854,0.00605802252048252,0.0204568188680483,0.00105049513985282,0.054105383873871,0.00386328782815839,0.000817409411830601,0.00524495579461803,0.0109144641123529,0.0165030289158023,0.0713363414760863,0.00682025212971311
EOMES,0.00224200135859561,0.146504631128109,0.0712757063795812,0.304865287035476,0.00520622401607333,0.00229239578315945,0.231292832653566,0.112247672789124,0.0328726574249785,0.0747581684159132,0.020115754939297,0.0057895123598851,0.108753503874335,0.00155615965384296,0.200215068660802,0.00727081450488021,0.00149019056082924,1,0.0786472801835288,0.00335705335355587,0.000808689397446366,0.000616043441487347,0.0132584073840252,0.0191958858708218,0.0806832486303603,0.00376065951425667,0.0411210537984104,0.00827784238260755,0.0100438108007515,0.0454418159994538,0.00675463206346051,0.0139179406338156,0.475141008310512,0.303877410097794,0.0435837380811787,0.0909903881563308,0.529715375687634,0.539604175625902,0.0112190771893911,0.199952441851857,0.0137231205355395,0.00300233150404818,0.00113745574266923,0.10376779264349,0.0213818376253211,0.00988772137982751,0.215125020365284,0.454146414677192,0.0063972391966261,0.280443893894487,0.0422065096764487,0.00170724594272334,0.450682189366214,0.0551321183756388,0.0113165935034335,0.0020150221025008,0.409176244066437,0.123360458535739,0.151394032048867,0.00111642551209558,0.0349717742863334,0.00359112312458563,0.518267096454833,0.000541753001326238,0.446714694908218,0.0291463903296853,0.0342727885596168,0.00793120171001057,0.0718493490058596,0.0132592352111988,0.0306392230179429
EPHA5,0.00352501540569816,0.0331581009582054,0.0225120225322608,0.0217882248251485,0.00141312873214449,0.00104263307434801,0.0085596050603201,0.0187912488216553,0.00107088895285323,0.00778006883993815,0.00795948514754324,0.00694531437356579,0.00392024046004461,0.000763182387811117,0.0310521367848436,0.00274533457485329,0.00155552444709617,0.0786472801835288,1,0.00121182521106738,0.00761528964472242,0.000835509417122946,0.000471245546295866,0.0129367472333732,0.0262627572925243,0.0032281980390535,0.00314096621643341,0.00309378226252379,0.00962585759728577,0.0278158718051151,0.00188650071397281,0.00509626023286357,0.0593690898333483,0.0366216851348318,0.0223381335872736,0.00846692220899295,0.0747932761206183,0.0727563794677263,0.00522432190851431,0.0224665297377177,0.00853161921980797,0.0016670881125,0.00783284765955536,0.0257402387736243,0.0131705795847079,0.00146283448588133,0.0268690075148033,0.0525021451140315,0.001609663180924,0.0129477047374208,0.017794822989494,0.00108353138029831,0.0720231521178253,0.0100400354533694,0.00865153843614761,0.00058364356346635,0.0363984812691033,0.00954187755205083,0.0299307063531329,0.000474068405321838,0.0124357766840097,0.00279172884763223,0.0663611506050427,0.0012268558264097,0.0586407738807201,0.00505745937743846,0.0221929933993721,0.00573882683388852,0.0244349602061245,0.002420792286833,0.00236660387765715
ERBB4,0.0567645368519581,0.0045672163594667,0.00274310658991831,0.000397893027530335,0.0453506397892197,0.162306557834204,0.0034707399392449,0.00123693408702483,0.00743185507153376,0.00370023794152749,0.00032600752951832,0.00173505046387253,0.00124416246755673,0.286008502616491,0.00574837144774405,0.0083708553313561,0.0882733078716958,0.00335705335355587,0.00121182521106738,1,0.0254259463091567,0.00128683248437578,0.00144691419854861,0.0132666331684438,0.00706145839890113,0.0369851887392594,0.0149786724191304,0.0332644975463774,0.0184894856281096,0.0131452378050134,0.0130721605192471,0.00711958036068634,0.00283282504094757,0.00582943379312346,0.00821822078560343,0.00226046378424068,0.00282237610625607,0.00216833358777757,0.0256913674980469,0.002910266414596,0.0382347637031344,0.0282978775643782,0.0063382098946638,0.00797717972872049,0.00910682939152509,0.00802425102042149,0.00597301766160271,0.00408439279823889,0.00219181851589577,0.0018341686025925,0.00337971014665028,0.216422494595863,0.00579982990336436,0.0108883613379555,0.00137566297619364,0.0141243483782596,0.0115902600389601,0.0285482246947451,0.010162724375847,0.311023077956491,0.00500392936329778,0.0140423115266736,0.00393398019487284,0.0905693284650334,0.00325145644558775,0.00122871238874657,0.00216505329203311,0.00422117024906003,0.00471243655409339,0.162262201359877,0.0236407855288539
