,ACTN2,ADIPOR1,BACE2,BCAP29,CAMK2G,CAP2,CDKL5,CPOX,CXCL1,DAB2,DUSP7,DYNC1I1,EFNA5,EIF4H,EOGT,FAT3,FERMT2,JAG2,JMJD1C,LAMA5,LDLRAD4,MAML2,MPC1,MYCT1,PCDH7,PDZD2,PTP4A3,PTPN2,RALB,RAP1GAP,RPS6KA3,RRM2B,SAV1,SERPINI1,SFT2D1,SH2B3,SORCS1,SSX2IP,ST3GAL1,SYPL1,SYT6,TBC1D4,TMEM189,TNFAIP8L1,USP2,USP6NL,WDR60,WIPI1,ZBTB18
DUSP7,0.0247109506624382,2.22658239599169e-05,0.000442936388981577,0.00174864156148319,0.000587403581699315,0.0689508263652018,0.0112378660277602,9.17108941924853e-08,1.49433756721143e-09,7.17541783575172e-05,1,0.0118572398303579,0.00116633237282299,5.388459642074e-07,3.07529896508782e-06,0.000170985468361205,5.95807673799185e-05,0.0014266509204412,0.000652768613352359,1.41586606386903e-06,0.00149277598516274,1.3642575192486e-05,0.000715068953594341,2.36980136992163e-07,0.0026952860408401,0.0083715137372473,6.18575590846863e-06,0.0112327146624707,0.000103978929658969,0.00320400920913092,0.00230252761590422,0.00136669562044247,0.00216562127133612,0.00120992474986903,1.9911595050139e-06,0.00469324491913995,0.00643632156462601,0.00156471336944171,0.0184759505460082,6.71967576833211e-06,0.00156988120762287,0.00413604231665353,0.0021657462682167,0.0113448649469366,0.0107659468723512,3.48636204206324e-05,1.28138840620881e-05,7.70739051314933e-08,0.00594269562439297
DYNC1I1,0.00165134022947829,2.51520195477289e-06,8.63571379889146e-05,9.38708093347345e-05,0.000139421154353437,0.0286948341164823,0.0301113535413321,6.22564015158962e-08,9.60937168582383e-10,5.14894630972785e-06,0.0118572398303579,1,0.0236474566698706,1.78508069616875e-06,3.52250414999192e-07,0.000335723506917955,1.64566502758164e-05,0.00105205405690714,0.00210873982474006,2.04964242618113e-06,0.00015213290517426,1.95048255035874e-06,4.1866911904597e-05,2.92965993548404e-08,0.00076938553659082,0.00160619698425978,1.27056422839201e-05,0.00149726133792314,4.99193727394037e-06,0.000179351720179418,0.000174348784108181,0.00109905638342317,0.000157725458838557,0.000195796191429713,5.6542133069707e-07,0.000224477186403001,0.00252588132512579,0.000961926150700751,0.00229524959765677,2.20836710169431e-07,0.00383759848468254,0.000105663776281387,0.000159673088619358,0.000790330155720855,0.00059921292538528,0.000820272753075614,6.33456040355793e-06,3.02182968061603e-08,0.0213979117375354
EFNA5,6.35787667936649e-05,4.72728658429813e-07,3.44706350359259e-05,9.82216810965446e-06,2.4504304602307e-05,0.00145094735699417,0.00537987689811103,2.23209892073145e-07,2.51206962688188e-08,1.57017363158219e-06,0.00116633237282299,0.0236474566698706,1,3.82444732166683e-07,1.2901506656685e-05,0.00174336282560413,8.97080883029505e-07,0.00413945922721078,0.00169395388752377,2.10072082781228e-06,6.07703770726338e-06,4.03397491717954e-06,3.67190226391895e-06,7.21467278324363e-07,0.000190655367132499,0.0013343751315916,0.000149367137665967,6.88105008548617e-05,4.55591382887195e-06,2.96943738704996e-05,2.04273092321289e-05,3.69386577285354e-05,1.77778035416668e-05,0.000231664956893727,6.64263344914298e-07,0.000278655532654624,0.000209954003160834,6.34222948876271e-05,0.000679955884760644,7.81216298679662e-08,0.00140161124716767,7.43470195312422e-06,0.00348811546507045,0.00116293002718781,4.29629360538117e-05,0.000456522361094886,3.26749191722039e-05,1.12148734162405e-06,0.00194883911367956
EIF4H,2.06647915308603e-07,1.11103057613817e-05,3.47363968076219e-05,2.09809379339283e-07,1.18878910941811e-06,1.44264203001739e-06,1.71587014984145e-05,2.00523463830965e-11,4.48247498976586e-10,6.31675594454251e-10,5.388459642074e-07,1.78508069616875e-06,3.82444732166683e-07,1,4.95875015509561e-09,1.6453127306776e-05,9.02942284073894e-07,2.39994528538848e-06,0.000168576836266434,0.000111792555212855,2.11983107074043e-08,0.00324727700313927,4.80012620399226e-07,1.13254149268595e-11,9.17030543523149e-07,1.04553793956059e-05,1.18774340043383e-07,1.41835240980704e-06,1.154054292034e-08,2.83669772412111e-07,2.11220417831649e-06,3.63454668583479e-08,7.92522084765878e-06,1.40879118837795e-07,8.29812039636223e-06,2.51262500799963e-06,2.40086091697952e-05,2.64404597119073e-07,2.2196079563562e-06,2.20195534714767e-07,1.58930002857087e-06,3.29042799609123e-07,1.40597622372101e-07,2.92342779179583e-07,2.65089369995776e-06,1.7441968731093e-06,4.97734991119067e-07,2.73137377488477e-10,9.79976902662595e-05
EOGT,2.82861549764387e-07,1.40633316429961e-06,2.29308228368305e-06,2.46319747223057e-05,3.71163413373132e-07,1.8986975557487e-06,1.16626117794395e-06,4.47015654078573e-06,2.0936154144401e-07,0.000115436914746434,3.07529896508782e-06,3.52250414999192e-07,1.2901506656685e-05,4.95875015509561e-09,1,3.58679777096995e-06,6.16766449921147e-08,8.97293067211242e-06,3.49383414117671e-07,5.28152060979689e-09,1.03256515443982e-05,1.38454494574444e-06,1.74927544943973e-06,0.000933323774859226,6.85640971776585e-07,2.67715959210494e-05,3.89192121260216e-06,4.56610264680925e-07,0.000242505195167088,2.68777068139575e-06,3.15663210104358e-05,5.07456422836554e-07,1.19484151540137e-06,1.23857316642155e-05,1.40746354654581e-07,0.000324945270835301,5.8310007638661e-07,9.42183080156968e-07,1.4297902466031e-05,0.000111448011079318,1.30861617676314e-06,2.7151408833333e-06,1.19246417488426e-05,1.31050619299803e-06,2.06492122606952e-07,3.80139895070165e-08,1.25007615840316e-07,0.000287540164179787,3.49592402040694e-07
FAT3,0.000106862009078745,3.55106400701523e-06,0.000207536499651352,0.000300756807550674,0.00230435301674669,0.000187830975928062,0.0050320172546935,1.07808920826659e-09,7.73272144060584e-08,2.87778429126279e-07,0.000170985468361205,0.000335723506917955,0.00174336282560413,1.6453127306776e-05,3.58679777096995e-06,1,9.42908925338055e-06,0.00316287759198244,0.00952324008740978,0.000161673326752856,7.41326852638175e-05,1.02245968837948e-05,5.82648189917732e-05,1.33010159674443e-07,0.000427844023994506,0.000512004710741049,0.00393332638787748,0.00111615762553193,7.24033747980907e-07,0.000139669634070342,2.97981031955674e-05,3.90090454196442e-05,0.00013196274558648,2.80163600274124e-05,5.30696066971997e-06,0.000150764176605466,0.00129550708263203,0.0012236159635246,0.000406639352739116,8.47853880047793e-06,0.000145864917556455,2.49108123990268e-05,0.000584920464895567,0.000220795121912125,0.000330005939210002,0.000615868861957537,0.000246353371457398,3.21784587394063e-08,0.00663386040507276
FERMT2,0.000213903148973086,7.22439732740042e-07,6.60159058183389e-06,0.00166730497425461,7.73976144199253e-05,3.60798477967069e-05,0.000178395780061038,2.53025718375987e-09,9.51894683348419e-12,5.2697089047945e-06,5.95807673799185e-05,1.64566502758164e-05,8.97080883029505e-07,9.02942284073894e-07,6.16766449921147e-08,9.42908925338055e-06,1,4.91520461640408e-06,0.000203697086702069,3.61618409413771e-05,0.000386175196928396,9.40832621450736e-09,0.00141501379259621,1.08532503471859e-07,0.000861233227326687,3.97820893539729e-05,2.19039319996857e-07,0.000653787453831632,1.48224622597054e-07,0.000184456608517981,0.000463420047198539,1.94220636259046e-05,0.00650620331567208,1.19518389435971e-05,5.60339748287923e-05,7.89742087883428e-06,0.00443822390512805,9.56494643923626e-05,6.927919165889e-05,9.69229456514492e-06,2.4137232826304e-06,0.00187338646543441,2.2495987607215e-06,4.02138289114465e-05,0.000312813621327562,2.22430885036078e-06,3.77920510259738e-07,5.30031971898111e-08,0.000932102489385289
JAG2,0.000131005406331114,2.51880794681251e-07,2.46919482933519e-05,1.40857317544784e-05,0.00014817644276955,0.000349268270307928,0.00279780648526098,2.51270947792536e-09,2.55150033876399e-06,5.63027410607614e-07,0.0014266509204412,0.00105205405690714,0.00413945922721078,2.39994528538848e-06,8.97293067211242e-06,0.00316287759198244,4.91520461640408e-06,1,0.0128524452097016,7.91499671802212e-05,7.5074047428808e-06,1.03603555412589e-06,1.57791504605774e-05,1.66821265484759e-06,5.60134629228407e-05,0.000608914431901499,0.00230765673013925,0.000353517839365045,2.47602516981518e-06,0.000233909605654752,6.33074327058261e-05,7.03687737937864e-05,0.00022103934632672,0.000398892982986833,4.7265385178423e-05,0.00072889095116975,0.00043795244979552,4.60784754453766e-05,0.001958106215703,2.32483188608658e-07,0.000114228674984445,2.03330793335996e-05,0.00779604208466669,0.000446296065609938,6.68439113632353e-05,6.41499852134027e-05,0.00588715422881523,9.93440168190677e-07,0.00360571620761121
JMJD1C,0.000213086663910792,5.34762370661632e-07,2.55846504744391e-05,0.000100340271179104,0.000330900427813591,0.00133908345478769,0.0276985356537338,1.39653477866966e-08,6.75632497532078e-07,3.86954856030907e-07,0.000652768613352359,0.00210873982474006,0.00169395388752377,0.000168576836266434,3.49383414117671e-07,0.00952324008740978,0.000203697086702069,0.0128524452097016,1,0.000975528726394171,2.04392470605997e-05,1.43078286681268e-06,0.000124464057968022,3.16706925248027e-08,0.000883460119113156,0.000636525873837671,0.000351317769752418,0.0015201143301945,8.74831425581619e-07,0.000187288274696884,0.000430606504402463,5.75204723601078e-05,0.00130985065397997,0.000178692129107485,0.00024671739658317,0.000593417654303745,0.0120265358465573,0.00029631575311294,0.00215821654860236,2.69518193742307e-07,0.00019242626564594,0.000157233896983217,0.000762948511528633,0.00065001296516743,0.00125604334282449,0.000123339951380642,0.00193474489213961,2.28217669071497e-08,0.0680215869893891
LAMA5,8.0937667407716e-07,9.90158138428131e-09,2.22394278526188e-07,1.25915122027632e-05,1.31801466030911e-05,1.71902790665413e-06,3.403133828034e-05,7.10793636407138e-11,5.78581648982686e-07,2.16633014483218e-08,1.41586606386903e-06,2.04964242618113e-06,2.10072082781228e-06,0.000111792555212855,5.28152060979689e-09,0.000161673326752856,3.61618409413771e-05,7.91499671802212e-05,0.000975528726394171,1,1.60598327062381e-07,5.01579962659881e-07,0.000110773144627257,1.10757910856747e-09,3.04623380758375e-06,1.11904687050971e-06,3.28304124997976e-05,7.25015427111657e-06,1.62178033652145e-07,1.8328221165582e-06,1.51274560829805e-06,1.03750112144884e-07,3.38114950641083e-05,1.77536231304815e-07,5.34395968773615e-05,8.2710273632133e-07,0.000106391026967846,9.43708649288236e-07,3.64942632183657e-06,3.0778226734061e-05,1.29778497932186e-07,1.90733216895204e-06,1.45562973540261e-05,1.20217627008647e-06,2.59460023819739e-05,5.83461962067458e-07,0.00164680522924901,5.53228453810839e-10,0.0001557024075323
