gene,cluster,study,cluster_study,class,timing
NUPL1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
PA2G4,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
PARK7,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
POU2F1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
PTMAP2,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
RHOBTB3,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
ROCK1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
RSRC1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
SNRPGP2,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
SPCS2,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
TPI1P1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
UBE2T,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
UQCRQ,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
XPO1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
XRCC6,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
ZMIZ1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
ZNF43,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
PSMD12,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
CUX1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
EIF5B,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
ELAVL4,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
HCFC1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
HMGCS1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
IVNS1ABP,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
KHDRBS1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
KNTC1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
LSM3,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
MKI67,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
NDUFB2,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
QSER1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
RPS3AP26,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
SLIRP,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
SMC1A,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
TOP2A,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
WIPF3,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
ZNF738,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
CNBP,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
AC120042.1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
BUB3,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
CCT6A,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
CD47,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
CDK1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
CHD7,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
CIRBP,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
CKAP2,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
EEF1B2,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
ERH,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
FABP5P7,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
GDI1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
H3F3AP6,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
HNRNPH3,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
LHX2,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
MSI1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
MYH10,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
NDUFA6,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
NUP50,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
PAX6,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
PET100,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
RNPS1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
SLC25A6,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
TFAP2C,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
UHRF1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
USP1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
ILF2,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
BANF1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
EOMES,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
RPL21P28,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
RRM2,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
SMC2,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
SNRPD1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
ALDOA,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
BTG3,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
CCDC14,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
CENPF,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
CHCHD2,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
EIF4EBP2,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
ENO1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
FABP5,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
FANCD2,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
FRYL,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
GABARAP,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
H2AFY,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
HES6,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
KPNB1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
MMS22L,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
NUSAP1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
PFN2,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
PKM,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
PRDX2,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
RAN,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
RIF1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
SAR1A,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
SF3B2,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
SRSF2,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
TFDP2,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
TPI1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
RP11.69L16.5,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
HNRNPA3,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
RP11.742N3.1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
C3orf70,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
CKB,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
COX6C,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
CSRP2,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
DEK,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
DLEU2,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
DNMT1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
EID1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
GSTP1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
H2AFV,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
HMGB1P10,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
HMGB2,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
HMGN2P3,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
ILF3,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
KIAA0101,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
PRDX1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
PTPRZ1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
RAD21,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
SHFM1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
SLC25A5,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
SNRPG,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
ANP32E,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
ARID1A,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
ATAD2,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
CPSF6,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
EZH2,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
FUS,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
GOLIM4,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
LDHB,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
MCM7,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
PRKDC,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
RDX,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
RRM1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
SKA2,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
SPAG9,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
SRSF10,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
SUPT16H,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
TCERG1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
TMPO,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
YBX1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
FAU,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
POU3F3,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
ATP5G2,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
BAZ2B,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
BCLAF1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
CASP2,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
CHCHD3,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
HELLS,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
HINT1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
HIST1H4C,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
HNRNPA1P10,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
HNRNPA1P48,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
HNRNPD,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
MYL6,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
NCL,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
NONO,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
NUCKS1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
PCBP2,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
RP11.673C5.1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
RPS15A,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
RPS26,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
RQCD1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
SMC4,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
SRSF7,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
TMSB15A,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
TUBBP1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
ADNP,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
BCL11A,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
C1orf61,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
CORO1C,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
DAAM1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
FAM171B,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
GAPDH,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
H2AFZ,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
H3F3AP4,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
HMGN2,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
HMGN2P5,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
LINC01158,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
MAPK1IP1L,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
NAP1L1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
PPIA,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
RPL37,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
RPL8,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
TMSB4XP1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
XRCC5,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
HNRNPK,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
EZR,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
HNRNPL,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
NFIA,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
PHIP,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
RBMX,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
RPL9,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
RPS3AP6,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
RTN4,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
SMC3,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
CBX5,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
CTNNB1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
DCX,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
H3F3A,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
HMGB1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
HMGB1P5,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
HNRNPA2B1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
HSP90AB1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
NASP,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
NNAT,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
PTMAP5,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
RPS14,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
SET,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
TUBA1B,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
RPS3,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
SRSF3,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
SOX4,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
MDM4,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
TUBA1A,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
ACTB,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
CCND2,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
MAP1B,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
PTMA,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
RPL15,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
RPLP1,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
RPS24,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
SYNE2,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
TMSB4X,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
TUBB,IPC-div2,kriegstein,IPC-div2_kriegstein,progenitor,precursor
ATP6V0A1,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
BSDC1,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
CDK2AP1,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
GTF2IRD2,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
TFAP2C,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
UBE4B,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
CCDC88C,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
CCSAP,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
CDON,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
CRB1,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
KCNN3,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
NHLH1,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
PAG1,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
PENK,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
PLCB1,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
PLCE1,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
PTCHD2,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
SLC24A2,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
TSPAN5,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
ATP1B3,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
KIAA1456,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
LARP7,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
LRCH3,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
SCYL2,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
SRGAP2B,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
STARD4.AS1,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
TP53INP1,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
CLMP,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
LBR,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
LINC00925,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
LPPR1,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
PLCB4,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
QKI,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
RBM3,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
ZNF3,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
AASS,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
CDV3,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
FBXL20,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
HIPK2,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
MFAP2,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
PHLDA1,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
SPATS2,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
ST8SIA2,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
TSC22D2,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
XIST,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
AC120042.1,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
CD200,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
CUL1,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
MYO10,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
NIPBL,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
SSR4,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
SVIL,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
ZEB1,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
LHX2,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
MYEF2,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
SCARNA22,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
SETD7,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
WIPF3,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
H2AFZ,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
HECW1,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
HNRNPA1P4,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
MAPK10,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
NEUROD6,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
NFIX,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
RP11.806K15.1,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
SCRN1,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
DYNC1LI2,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
ANK3,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
CA12,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
CACUL1,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
EIF5,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
EPHA3,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
FAM126A,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
MMP16,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
NR2F1,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
PPP2R2B,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
RP11.436D23.1,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
RPAIN,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
RPL7AP6,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
SEZ6L,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
CRLF3,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
DDAH2,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
MIDN,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
SCARB2,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
COPA,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
FGD4,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
FOXN2,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
GDAP1,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
HDAC9,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
ITCH,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
KDM1A,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
LCOR,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
SLC4A7,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
SOGA1,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
SUMO1,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
TFDP2,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
HNRNPA1P35,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
MKLN1,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
ACLY,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
ADAR,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
AGO1,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
FMNL2,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
NUDT4,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
SNCAIP,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
DYNLL1,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
EEF1A1P13,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
GOLGA8A,IPC-nEN1,kriegstein,IPC-nEN1_kriegstein,progenitor,precursor
