gene,cluster,study,cluster_study,class,timing
SATB2,ExN_prenatal,psychENCODE,ExN_prenatal_psychENCODE,neuron_excitatory,mature
UNC5D,ExN_prenatal,psychENCODE,ExN_prenatal_psychENCODE,neuron_excitatory,mature
ADRA2A,ExN_prenatal,psychENCODE,ExN_prenatal_psychENCODE,neuron_excitatory,mature
NKAIN2,ExN_prenatal,psychENCODE,ExN_prenatal_psychENCODE,neuron_excitatory,mature
SLA,ExN_prenatal,psychENCODE,ExN_prenatal_psychENCODE,neuron_excitatory,mature
C8ORF34,ExN_prenatal,psychENCODE,ExN_prenatal_psychENCODE,neuron_excitatory,mature
RP11-509E10.1,ExN_prenatal,psychENCODE,ExN_prenatal_psychENCODE,neuron_excitatory,mature
SYT4,ExN_prenatal,psychENCODE,ExN_prenatal_psychENCODE,neuron_excitatory,mature
NPY1R,ExN_prenatal,psychENCODE,ExN_prenatal_psychENCODE,neuron_excitatory,mature
NWD2,ExN_prenatal,psychENCODE,ExN_prenatal_psychENCODE,neuron_excitatory,mature
ARX,InN_prenatal,psychENCODE,InN_prenatal_psychENCODE,neuron_inhibitory,mature
ATRNL1,InN_prenatal,psychENCODE,InN_prenatal_psychENCODE,neuron_inhibitory,mature
SOX11,InN_prenatal,psychENCODE,InN_prenatal_psychENCODE,neuron_inhibitory,mature
ERBB4,InN_prenatal,psychENCODE,InN_prenatal_psychENCODE,neuron_inhibitory,mature
SOX4,InN_prenatal,psychENCODE,InN_prenatal_psychENCODE,neuron_inhibitory,mature
SOX2-OT,InN_prenatal,psychENCODE,InN_prenatal_psychENCODE,neuron_inhibitory,mature
DLX6-AS1,InN_prenatal,psychENCODE,InN_prenatal_psychENCODE,neuron_inhibitory,mature
DCX,InN_prenatal,psychENCODE,InN_prenatal_psychENCODE,neuron_inhibitory,mature
USP9Y,InN_prenatal,psychENCODE,InN_prenatal_psychENCODE,neuron_inhibitory,mature
PTPRR,InN_prenatal,psychENCODE,InN_prenatal_psychENCODE,neuron_inhibitory,mature
RUNX1T1,InN_prenatal,psychENCODE,InN_prenatal_psychENCODE,neuron_inhibitory,mature
CXORF23,InN_prenatal,psychENCODE,InN_prenatal_psychENCODE,neuron_inhibitory,mature
PDE4D,InN_prenatal,psychENCODE,InN_prenatal_psychENCODE,neuron_inhibitory,mature
C16ORF62,InN_prenatal,psychENCODE,InN_prenatal_psychENCODE,neuron_inhibitory,mature
PLS3,InN_prenatal,psychENCODE,InN_prenatal_psychENCODE,neuron_inhibitory,mature
ZEB2,InN_prenatal,psychENCODE,InN_prenatal_psychENCODE,neuron_inhibitory,mature
RP11-553L6.5,InN_prenatal,psychENCODE,InN_prenatal_psychENCODE,neuron_inhibitory,mature
RBFOX2,InN_prenatal,psychENCODE,InN_prenatal_psychENCODE,neuron_inhibitory,mature
RP11-762L8.6,InN_prenatal,psychENCODE,InN_prenatal_psychENCODE,neuron_inhibitory,mature
PROX1,InN_prenatal,psychENCODE,InN_prenatal_psychENCODE,neuron_inhibitory,mature
PIGU,InN_prenatal,psychENCODE,InN_prenatal_psychENCODE,neuron_inhibitory,mature
C3ORF62,InN_prenatal,psychENCODE,InN_prenatal_psychENCODE,neuron_inhibitory,mature
DLX2,InN_prenatal,psychENCODE,InN_prenatal_psychENCODE,neuron_inhibitory,mature
C3ORF38,InN_prenatal,psychENCODE,InN_prenatal_psychENCODE,neuron_inhibitory,mature
BCL11B,InN_prenatal,psychENCODE,InN_prenatal_psychENCODE,neuron_inhibitory,mature
CADM1,InN_prenatal,psychENCODE,InN_prenatal_psychENCODE,neuron_inhibitory,mature
AP000708.1,InN_prenatal,psychENCODE,InN_prenatal_psychENCODE,neuron_inhibitory,mature
AMER2,InN_prenatal,psychENCODE,InN_prenatal_psychENCODE,neuron_inhibitory,mature
MIRLET7BHG,InN_prenatal,psychENCODE,InN_prenatal_psychENCODE,neuron_inhibitory,mature
FKBP15,InN_prenatal,psychENCODE,InN_prenatal_psychENCODE,neuron_inhibitory,mature
SYT14,InN_prenatal,psychENCODE,InN_prenatal_psychENCODE,neuron_inhibitory,mature
ZNF618,InN_prenatal,psychENCODE,InN_prenatal_psychENCODE,neuron_inhibitory,mature
KIAA0391,InN_prenatal,psychENCODE,InN_prenatal_psychENCODE,neuron_inhibitory,mature
FTL,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
VSIG4,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
ZFP36L1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
CCL4,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
